Game,Date,Team,Home,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
28,12/13/2018,LAL,0,Michael Beasley\beaslmi01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
29,12/15/2018,LAL,0,Lonzo Ball\balllo01,34:52,7,11,.636,2,4,.500,0,0,,3,7,10,10,5,1,2,1,16,+34,.727,.727,.364,.000,10.6,18.9,15.3,35.0,6.5,2.2,15.4,15.2,148,84
29,12/15/2018,LAL,0,LeBron James\jamesle01,30:13,7,15,.467,2,6,.333,8,12,.667,1,11,12,11,1,0,3,0,24,+31,.592,.533,.400,.800,4.1,34.3,21.2,46.1,1.5,0.0,12.9,31.5,127,93
29,12/15/2018,LAL,0,Kyle Kuzma\kuzmaky01,27:41,4,9,.444,2,5,.400,4,4,1.000,1,2,3,3,0,1,4,4,14,+29,.651,.556,.556,.444,4.4,6.8,5.8,12.4,0.0,2.8,27.1,21.8,105,101
29,12/15/2018,LAL,0,Josh Hart\hartjo01,26:07,2,8,.250,1,4,.250,0,1,.000,1,2,3,1,1,0,2,2,5,+30,.296,.313,.500,.125,4.7,7.2,6.1,4.1,1.7,0.0,19.2,16.3,62,99
29,12/15/2018,LAL,0,JaVale McGee\mcgeeja01,17:50,9,10,.900,0,0,,1,2,.500,1,5,6,0,1,3,1,2,19,+18,.873,.900,.000,.200,6.9,26.4,17.9,0.0,2.5,12.8,8.4,27.2,149,83
29,12/15/2018,LAL,0,Lance Stephenson\stephla01,22:56,5,8,.625,1,3,.333,0,0,,0,5,5,4,2,0,2,2,11,-2,.688,.688,.375,.000,0.0,20.5,11.6,21.7,3.9,0.0,20.0,17.8,118,91
29,12/15/2018,LAL,0,Kentavious Caldwell-Pope\caldwke01,21:11,4,9,.444,2,4,.500,1,1,1.000,1,1,2,0,0,0,0,0,11,+7,.583,.556,.444,.111,5.8,4.4,5.0,0.0,0.0,0.0,0.0,18.2,124,104
29,12/15/2018,LAL,0,Sviatoslav Mykhailiuk\mykhasv01,17:47,4,10,.400,3,6,.500,1,2,.500,0,1,1,4,0,0,0,2,12,-3,.551,.550,.600,.200,0.0,5.3,3.0,28.3,0.0,0.0,0.0,25.0,128,103
29,12/15/2018,LAL,0,Tyson Chandler\chandty01,16:29,1,1,1.000,0,0,,1,2,.500,1,4,5,0,0,1,1,5,3,+9,.798,1.000,.000,2.000,7.5,22.8,16.2,0.0,0.0,4.6,34.7,7.1,108,95
29,12/15/2018,LAL,0,Ivica Zubac\zubaciv01,11:35,3,4,.750,0,0,,0,0,,0,1,1,0,0,0,0,0,6,+1,.750,.750,.000,.000,0.0,8.1,4.6,0.0,0.0,0.0,0.0,14.1,144,103
29,12/15/2018,LAL,0,Moritz Wagner\wagnemo01,6:54,2,4,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,1,5,-8,.625,.625,.500,.000,0.0,40.9,23.2,0.0,0.0,0.0,0.0,23.7,119,95
29,12/15/2018,LAL,0,Isaac Bonga\bongais01,6:25,1,3,.333,0,0,,0,0,,1,0,1,1,2,0,0,1,2,-6,.333,.333,.000,.000,19.2,0.0,8.3,18.0,14.1,0.0,0.0,19.1,107,74
29,12/15/2018,LAL,0,Michael Beasley\beaslmi01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
30,12/16/2018,LAL,0,Lonzo Ball\balllo01,34:27,4,11,.364,2,7,.286,0,0,,0,5,5,4,3,2,4,1,10,-24,.455,.455,.636,.000,0.0,13.9,7.4,14.5,3.8,3.7,26.7,17.3,76,110
30,12/16/2018,LAL,0,LeBron James\jamesle01,32:00,5,16,.313,0,2,.000,3,6,.500,0,6,6,3,0,1,4,0,13,-21,.349,.313,.125,.375,0.0,18.0,9.6,12.3,0.0,2.0,17.7,28.1,66,118
30,12/16/2018,LAL,0,Kyle Kuzma\kuzmaky01,28:37,9,15,.600,0,4,.000,2,2,1.000,2,4,6,3,1,1,6,4,20,-22,.630,.600,.267,.133,7.6,13.4,10.7,17.4,1.5,2.2,27.4,30.4,95,116
30,12/16/2018,LAL,0,Josh Hart\hartjo01,20:30,2,10,.200,0,5,.000,0,0,,0,0,0,0,0,1,0,2,4,-26,.200,.200,.500,.000,0.0,0.0,0.0,0.0,0.0,3.1,0.0,19.4,43,123
30,12/16/2018,LAL,0,Tyson Chandler\chandty01,19:37,1,3,.333,0,0,,0,0,,3,4,7,0,2,1,1,0,2,-29,.333,.333,.000,.000,16.7,19.6,18.2,0.0,4.4,3.3,25.0,8.1,86,107
30,12/16/2018,LAL,0,Sviatoslav Mykhailiuk\mykhasv01,27:30,2,6,.333,0,3,.000,1,1,1.000,0,3,3,1,2,0,3,0,5,+8,.388,.333,.500,.167,0.0,10.5,5.6,4.3,3.2,0.0,31.8,13.6,58,115
30,12/16/2018,LAL,0,Kentavious Caldwell-Pope\caldwke01,27:29,9,12,.750,4,6,.667,3,3,1.000,1,5,6,5,1,0,0,1,25,-1,.938,.917,.500,.250,4.0,17.5,11.1,30.9,1.6,0.0,0.0,19.2,191,116
